mesh_term,primary_category,category_label
Retinal Hemorrhage,eye_health,Eye Health
Retinopathy of Prematurity,childrens_health,Children's Health
Retinoscopy,childrens_health,Children's Health
Retirement,public_health_prevention,Public Health & Prevention
Retroperitoneal Space,medications_drug_safety,Medications & Drug Safety
Retrospective Studies,cancer,Cancer
Reverse Transcriptase Polymerase Chain Reaction,infections,Infections & Infectious Disease
Rh Isoimmunization,womens_reproductive,Women's & Reproductive Health
Rhinoplasty,medications_drug_safety,Medications & Drug Safety
Ribonucleotides,heart_blood_vessels,Heart & Blood Vessels
Risk,childrens_health,Children's Health
Risk Assessment,heart_blood_vessels,Heart & Blood Vessels
Risk Factors,heart_blood_vessels,Heart & Blood Vessels
Risk Management,emergency_critical_care,Emergency & Critical Care
Risk Reduction Behavior,childrens_health,Children's Health
Risk-Taking,infections,Infections & Infectious Disease
Robotics,cancer,Cancer
Role,cancer,Cancer
Rotation,childrens_health,Children's Health
Rotator Cuff Injuries,ear_nose_throat,"Ear, Nose & Throat"
Running,bones_joints_muscles,"Bones, Joints & Muscles"
Rupture,ear_nose_throat,"Ear, Nose & Throat"
"Rupture, Spontaneous",medications_drug_safety,Medications & Drug Safety
Rural Health,heart_blood_vessels,Heart & Blood Vessels
Rural Health Services,ear_nose_throat,"Ear, Nose & Throat"
Rural Population,medications_drug_safety,Medications & Drug Safety
Russia,cancer,Cancer
Ruthenium Radioisotopes,skin_dermatology,Skin & Dermatology
S Phase,cancer,Cancer
ST Elevation Myocardial Infarction,heart_blood_vessels,Heart & Blood Vessels
Sacrum,brain_nervous_system,Brain & Nervous System
Safe Sex,womens_reproductive,Women's & Reproductive Health
Safety,eye_health,Eye Health
Safety Management,emergency_critical_care,Emergency & Critical Care
