mesh_term,primary_category,category_label
Tranexamic Acid,heart_blood_vessels,Heart & Blood Vessels
Transcatheter Aortic Valve Replacement,heart_blood_vessels,Heart & Blood Vessels
Transcranial Direct Current Stimulation,brain_nervous_system,Brain & Nervous System
Transfer (Psychology),medications_drug_safety,Medications & Drug Safety
Transforming Growth Factor beta,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Transforming Growth Factor beta1,womens_reproductive,Women's & Reproductive Health
Transfusion Reaction,childrens_health,Children's Health
Transplant Donor Site,medications_drug_safety,Medications & Drug Safety
Transportation of Patients,emergency_critical_care,Emergency & Critical Care
Transurethral Resection of Prostate,kidney_urinary,Kidney & Urinary Health
Trauma Centers,emergency_critical_care,Emergency & Critical Care
Trauma Severity Indices,emergency_critical_care,Emergency & Critical Care
Traumatology,emergency_critical_care,Emergency & Critical Care
Travel,cancer,Cancer
Treatment Failure,childrens_health,Children's Health
Treatment Outcome,cancer,Cancer
Treatment Refusal,infections,Infections & Infectious Disease
Triage,medications_drug_safety,Medications & Drug Safety
Triamcinolone Acetonide,bones_joints_muscles,"Bones, Joints & Muscles"
Trigeminal Nerve,medications_drug_safety,Medications & Drug Safety
Trigeminal Neuralgia,medications_drug_safety,Medications & Drug Safety
Triglycerides,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Triiodobenzoic Acids,dental_oral,Dental & Oral Health
Triiodothyronine,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Triiodothyronine, Reverse",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Troponin I,breathing_lungs,Breathing & Lungs
Troponin T,heart_blood_vessels,Heart & Blood Vessels
Truth Disclosure,digestive_liver,Digestive System & Liver
Tryptamines,brain_nervous_system,Brain & Nervous System
Tuberculoma,childrens_health,Children's Health
Tuberculosis,breathing_lungs,Breathing & Lungs
"Tuberculosis, Gastrointestinal",digestive_liver,Digestive System & Liver
"Tuberculosis, Meningeal",childrens_health,Children's Health
"Tuberculosis, Multidrug-Resistant",breathing_lungs,Breathing & Lungs
"Tuberculosis, Pulmonary",breathing_lungs,Breathing & Lungs
Tumor Burden,cancer,Cancer
"Tumor Cells, Cultured",skin_dermatology,Skin & Dermatology
Tumor Necrosis Factor-alpha,bones_joints_muscles,"Bones, Joints & Muscles"
Tumor Suppressor Protein p53,cancer,Cancer
Tumor Virus Infections,infections,Infections & Infectious Disease
Tunica Intima,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Tunica Media,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Turbinates,childrens_health,Children's Health
Turkey,heart_blood_vessels,Heart & Blood Vessels
Twins,digestive_liver,Digestive System & Liver
Tympanic Membrane Perforation,medications_drug_safety,Medications & Drug Safety
Tympanoplasty,ear_nose_throat,"Ear, Nose & Throat"
Tyrosine,skin_dermatology,Skin & Dermatology
Ultrasonography,bones_joints_muscles,"Bones, Joints & Muscles"
"Ultrasonography, Doppler",bones_joints_muscles,"Bones, Joints & Muscles"
"Ultrasonography, Doppler, Color",digestive_liver,Digestive System & Liver
"Ultrasonography, Doppler, Duplex",heart_blood_vessels,Heart & Blood Vessels
"Ultrasonography, Doppler, Pulsed",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Ultrasonography, Doppler, Transcranial",brain_nervous_system,Brain & Nervous System
"Ultrasonography, Interventional",cancer,Cancer
"Ultrasonography, Mammary",cancer,Cancer
"Ultrasonography, Prenatal",womens_reproductive,Women's & Reproductive Health
Unconsciousness,brain_nervous_system,Brain & Nervous System
United Kingdom,childrens_health,Children's Health
United Nations,infections,Infections & Infectious Disease
United States,childrens_health,Children's Health
United States Department of Veterans Affairs,emergency_critical_care,Emergency & Critical Care
United States Food and Drug Administration,childrens_health,Children's Health
Universal Coverage,public_health_prevention,Public Health & Prevention
Unnecessary Procedures,childrens_health,Children's Health
Up-Regulation,womens_reproductive,Women's & Reproductive Health
Urban Health,childrens_health,Children's Health
Urban Health Services,womens_reproductive,Women's & Reproductive Health
Urban Population,medications_drug_safety,Medications & Drug Safety
Urea,kidney_urinary,Kidney & Urinary Health
Uremia,medications_drug_safety,Medications & Drug Safety
Ureter,childrens_health,Children's Health
Ureteral Calculi,childrens_health,Children's Health
Ureteral Diseases,kidney_urinary,Kidney & Urinary Health
Ureteroscopy,childrens_health,Children's Health
Urethra,kidney_urinary,Kidney & Urinary Health
Uric Acid,medications_drug_safety,Medications & Drug Safety
Urinalysis,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Urinary Bladder,kidney_urinary,Kidney & Urinary Health
Urinary Bladder Diseases,kidney_urinary,Kidney & Urinary Health
Urinary Bladder Neoplasms,cancer,Cancer
"Urinary Bladder, Overactive",kidney_urinary,Kidney & Urinary Health
Urinary Calculi,kidney_urinary,Kidney & Urinary Health
Urinary Catheterization,kidney_urinary,Kidney & Urinary Health
Urinary Fistula,kidney_urinary,Kidney & Urinary Health
Urinary Incontinence,kidney_urinary,Kidney & Urinary Health
"Urinary Incontinence, Stress",kidney_urinary,Kidney & Urinary Health
Urinary Tract Infections,childrens_health,Children's Health
Urine,kidney_urinary,Kidney & Urinary Health
Urodynamics,kidney_urinary,Kidney & Urinary Health
Urogenital Neoplasms,cancer,Cancer
Urologic Diseases,medications_drug_safety,Medications & Drug Safety
Urologic Neoplasms,cancer,Cancer
Urologic Surgical Procedures,kidney_urinary,Kidney & Urinary Health
"Urologic Surgical Procedures, Male",childrens_health,Children's Health
Urological Agents,childrens_health,Children's Health
Urology,kidney_urinary,Kidney & Urinary Health
Urothelium,cancer,Cancer
Urticaria,childrens_health,Children's Health
User-Computer Interface,cancer,Cancer
Utah,womens_reproductive,Women's & Reproductive Health
Uterine Cervical Neoplasms,cancer,Cancer
Uterine Contraction,womens_reproductive,Women's & Reproductive Health
Uterine Diseases,womens_reproductive,Women's & Reproductive Health
Uterine Hemorrhage,cancer,Cancer
Uterine Neoplasms,womens_reproductive,Women's & Reproductive Health
Uterus,womens_reproductive,Women's & Reproductive Health
Uveal Neoplasms,skin_dermatology,Skin & Dermatology
Vaccination,childrens_health,Children's Health
Vaccines,infections,Infections & Infectious Disease
Vagina,womens_reproductive,Women's & Reproductive Health
Vaginal Neoplasms,womens_reproductive,Women's & Reproductive Health
Vaginal Smears,ear_nose_throat,"Ear, Nose & Throat"
Vaginitis,childrens_health,Children's Health
"Vaginosis, Bacterial",womens_reproductive,Women's & Reproductive Health
Vancomycin,infections,Infections & Infectious Disease
Varicose Veins,ear_nose_throat,"Ear, Nose & Throat"
Vascular Diseases,childrens_health,Children's Health
Vascular Endothelial Growth Factor A,cancer,Cancer
Vascular Headaches,brain_nervous_system,Brain & Nervous System
Vascular Neoplasms,cancer,Cancer
Vascular Patency,dental_oral,Dental & Oral Health
Vascular Resistance,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Vascular Surgical Procedures,ear_nose_throat,"Ear, Nose & Throat"
Vasculitis,childrens_health,Children's Health
Vasoconstrictor Agents,cancer,Cancer
Vasodilation,medications_drug_safety,Medications & Drug Safety
Vasodilator Agents,heart_blood_vessels,Heart & Blood Vessels
Vegetables,medications_drug_safety,Medications & Drug Safety
"Vena Cava, Inferior",cancer,Cancer
Venous Pressure,digestive_liver,Digestive System & Liver
Venous Thrombosis,cancer,Cancer
"Ventilators, Mechanical",digestive_liver,Digestive System & Liver
"Ventricular Dysfunction, Left",heart_blood_vessels,Heart & Blood Vessels
Ventricular Function,heart_blood_vessels,Heart & Blood Vessels
"Ventricular Function, Left",heart_blood_vessels,Heart & Blood Vessels
"Ventricular Function, Right",heart_blood_vessels,Heart & Blood Vessels
Ventricular Premature Complexes,heart_blood_vessels,Heart & Blood Vessels
Ventricular Remodeling,heart_blood_vessels,Heart & Blood Vessels
Ventriculoperitoneal Shunt,infections,Infections & Infectious Disease
Vertebral Artery,heart_blood_vessels,Heart & Blood Vessels
Vertebroplasty,bones_joints_muscles,"Bones, Joints & Muscles"
Vertigo,emergency_critical_care,Emergency & Critical Care
Vesico-Ureteral Reflux,childrens_health,Children's Health
Vesicular Transport Proteins,medications_drug_safety,Medications & Drug Safety
Veterans,emergency_critical_care,Emergency & Critical Care
Veterinarians,medications_drug_safety,Medications & Drug Safety
Vibration,womens_reproductive,Women's & Reproductive Health
Victoria,medications_drug_safety,Medications & Drug Safety
Video Recording,emergency_critical_care,Emergency & Critical Care
Video-Assisted Surgery,heart_blood_vessels,Heart & Blood Vessels
Videotape Recording,brain_nervous_system,Brain & Nervous System
Vinblastine,cancer,Cancer
Violence,emergency_critical_care,Emergency & Critical Care
Viral Load,infections,Infections & Infectious Disease
Viremia,infections,Infections & Infectious Disease
Virus Diseases,infections,Infections & Infectious Disease
Virus Latency,infections,Infections & Infectious Disease
Viruses,infections,Infections & Infectious Disease
Vision Disorders,childrens_health,Children's Health
Vision Tests,eye_health,Eye Health
"Vision, Low",eye_health,Eye Health
Visual Acuity,eye_health,Eye Health
Visual Pathways,eye_health,Eye Health
Visually Impaired Persons,eye_health,Eye Health
Vital Capacity,breathing_lungs,Breathing & Lungs
